title,company,location,salary,summary
DIRECTOR OF COORDINATED ENTRY,HRA/DEPT OF SOCIAL SERVICES,New York,85905,Reviews automated data systems to understand data collected and to propose system enhancements that will support research and performance evaluation activities....
"Senior Policy Analyst, Bureau of Children, Youth, and Famili...",DEPT OF HEALTH/MENTAL HYGIENE,New York,75557.5,"Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above...."
Data Scientist,MetroPlus Health Plan,New York,102500,"The Data Scientist will be tasked with leading data science projects to discover the information hidden in vast amounts of data, and help us make smarter..."
Senior Data Scientist - NLP and Machine Learning,Harnham,New York,180000,Senior Data Scientist - NLP and Machine Learning. Senior Data Scientist | NLP | Machine Learning | Python | Media....
Environmental Health & Safety Auditor,DEPT OF ENVIRONMENT PROTECTION,New York,90981,Ability to collect and analyze relevant data on spreadsheets. Two years as a City Research Scientist Level I can be substituted for the experience required in...
Data Scientist,Enterprise Select,New York,185000,"Financial Services data such as transactions, payments, customer data etc. 3yrs+ experience in a data scientist role - working in the field...."
"Research Scientist of Special Projects, World Trade Center H...",DEPT OF HEALTH/MENTAL HYGIENE,New York,97866.5,"Maintain confidentiality of identifiable data. Supervise at least one City Research Scientist analyzing data, preparing manuscripts and presentations, and..."
Senior Modeler,DEPARTMENT OF FINANCE,New York,75557.5,"Construct mathematical models that predict the market value of properties from real estate data. Decisions processes, econometric methods, data envelopment..."
Quantitative Analyst,A Priori Investment Management LLC,New York,150000,"Explore complex, unorthodox, and unstructured data sources. As a small company, projects will cover a broad spectrum from seeking hidden value in data to..."
Data Analyst,POLICE DEPARTMENT,New York,79249.5,"Extensive knowledge of applied statistics, analytics, machine learning, data science or big data tools...."
Senior Research Analyst,CONSUMER AFFAIRS,New York,76143,"And assisting with data analysis, management, and reporting on OFE programs. Implement OFE’s monitoring and evaluation processes including defining appropriate..."
"Research Data Analyst , Bureau of Veterinary and Pest Contro...",DEPT OF HEALTH/MENTAL HYGIENE,New York,62693,-Create visualizations and presentations summarizing program data. -Use ArcGIS to display program data and create maps....
Senior Project Manager,HRA/DEPT OF SOCIAL SERVICES,New York,86565,"Provide technical assistance on available data sources, data base construction,. Discuss policy, planning, and data reporting issues...."
"Program Coordinator, Bureau of Environmental Sciences and En...",DEPT OF HEALTH/MENTAL HYGIENE,New York,62693,-Research/analyze data and evaluate quality control procedures. Two years as a City Research Scientist Level I can be substituted for the experience required in...
Geospatial Data Scientist,DEPARTMENT OF FINANCE,New York,75643,The Property Valuation & Mapping Unit is seeking a Geospatial Data Scientist to provide imagery processing specifically related to the exploitation of LiDAR and...
Data Scientist – Marketing Analytics,Enterprise Select,Chicago,125000,We are currently looking for an experienced Data Scientist to join their Digital Analytics team. Leverage in-house data to build predictive models on computing...
Research Analyst,Illinois Criminal Justice Information Authority,Chicago,57500,Produce analyses of crime trends and provide data management support for the Center’s data archive function;...
Research Analyst,ICJIA,Chicago,57500,"(3) analyzing qualitative and quantitative data, using statistical software when appropriate; Ability to analyze qualitative and quantitative data using..."
"Data Scientist (Python, R, AWS, Azure)",Workbridge Associates,Chicago,105000,Our startup client working on risk and fraud detection machine learning software in River North is seeking a junior level Data Scientist to join their growing...
Data Scientist,Smith Hanley Associates,Chicago,105000,"Requirements of the Data Scientist:. Prominent Chicago area company is hiring Data Scientists:. Responsibilities include data sourcing, hypothesis generation,..."
Lead Data Scientist,Workbridge Associates,Chicago,140000,A major healthcare corporation located right in the Loop is building out a brand new data analytics team and looking for a Lead Data Scientist to help lead out...
"Lead Data Scientist (Tableau, RShiny, D3)",Workbridge Associates,Chicago,130000,Hiring for a Senior-Lead Data Scientist for a major healthcare corporation that is building out a new data analytics team in Chicago....
Lead Data Scientist (Deep Learning),Workbridge Associates,Chicago,125000,"Big Data with Hadoop, Hive, Impala. A leading provider of healthcare insurance across the country is growing out their analytics department in their Chicago..."
"Quantitative Analyst, AVP",Selby Jennings,Chicago,95000,"My client, a tier one investment bank, is looking to add an experienced Quantitative Analyst to their Quantitative Counterparty Risk team. The ideal candidate"
Data Scientist,Jobspring Partners,Chicago,75000,A voice recognition company is hiring for a Data Scientist passionate about scripting in Python and using Machine Learning libraries to provide insights....
Operations Data Scientist,Huxley Banking & Financial Services,Chicago,100000,The Operations Data Scientist will also provide analysis for key initiatives on regulatory compliance. The Operations Data Scientist will work with next...
Lead Machine Learning Data Scientist,All-In Analytics,Chicago,120000,DATA SCIENTIST LEAD-Visualization. Lead Machine Learning Data Scientist. Work with data-sets of varying degrees of size and complexity including both structured...
Data Scientist/Engineer,Jobspring Partners,Chicago,75000,"They would ideally have a STEM/Quantitative degree and have experience with Go, Javascript, Docker, NLP, and Big Data...."
Data Scientist Predictive Modeler,S.C. International,Chicago,130000,"Seeking a self-starter with 3+ years of professional experience in statistical modeling, data science, machine learning, data or text mining, and data..."
Lead Data Scientist (Data Visualization),Workbridge Associates,Chicago,122500,A major healthcare corporation located right in the Loop is building out a brand new data analytics team and looking for a Lead Data Scientist to help lead out...
Lead Data Scientist (Marketing),Jobspring Partners,Chicago,145000,Are you a seasoned data scientist interested in getting into a startup that’s building out a data product from the ground up? 4+ years data analytics....
Research Scientist / Sr. Research Scientist,"CPS, Inc.",Chicago,110000,"Research Scientist / Sr. The Research Scientist / Sr. \*Confer with company scientists and commercial teams to conduct analyses of research projects, interpret..."
Sr. Machine Learning Developer,All-In Analytics,Chicago,75000,Experience with data extraction and analysis. Analyzes large amounts of data from our infrastructure systems....
Senior Data Scientist / Machine Learning Engineer,Request Technology,Chicago,132500,"Seeking a Senior Data Scientist / Machine Learning Engineer for a global Fortune 500 Client. MS degree in Computer Science, Machine Learning or Artificial..."
Senior Data Scientist,Go2Group,Chicago,160000,Seeking a Data Scientist (Consultant to Architect level) to join and help build our emerging Predictive Analytics practice in the Chicago office....
Data Engineer/Scientist,Workbridge Associates,Chicago,107500,"Big Data experience with Hadoop, Spark, Pig. An early stage, funded startup within the fraud analytics and prevention space is looking to build out their..."
Machine Learning Engineer (Ruby),Jobspring Partners,Chicago,120000,Experience working with electronic medical record data. This is a hybrid role where you will spend half your time programming with Ruby on our core API platform...
Statistical Analyst,S.C. International,Chicago,80000,Extremely successful consulting practice has an immediate need for a Statistical Analyst. Our client is an industry leader in consulting to the healthcare
Senior Data Scientist,Workbridge Associates,Chicago,130000,You will be building out new predictive models and machine learning algorithms to improve real time customer data results and help make better data driven...
Senior Data Scientist - Modeling,TS Kandilit,Chicago,112500,Sr Data Scientist – Modeling. Candidates with experience using credit data. Familiarity with fi nancial services industry/ data....
Software Engineer (Python),Jobspring Partners,Chicago,92500,Brand new product that is used globally by the top scientists and doctors. This product is making strides in medical genomic research that will organize and...
Sr. Data Scientist,Request Technology,Chicago,115000,"Data Scientist– C++, Python, Perl R, Matlab. Master’s degree or Ph.D in and 3 years as a Data Scientist with C/C++, Python, Perl, Java, Company uses Python and..."
CRM Consultant/Sr. Statistical Analyst,Smith Hanley Associates,Chicago,85000,"-Interpret data, extract insights and build business solutions. -Ability to manipulate complex data sets and communicate insights and recommendations...."
Civil/ Environmental Engineer,"Andrews Engineering, Inc.",Chicago,57500,"Analyzing Data or Information. Collaborate with environmental scientists, planners, hazardous waste technicians, engineers, experts in law or business, or other..."
Senior Data Engineer,Jobspring Partners,Chicago,122500,Full stack data scientists looking to grow with a brand new team in a well-developed company keep reading. Experience using Spark for Data processing....
"Senior Data Engineer (AWS RedShift, MySQL, Python)",Workbridge Associates,Chicago,95000,"Our client's Data Scientists and Engineers are instrumental in managing data, understanding the needs of the business to analyze data and presenting information..."
Data Integration Architect,Request Technology,Chicago,100000,Strong logical / physical data modeling across many different data management platforms. Data integration issues and integration patterns....
PhD in AI / Machine Learning,Griffin Advisors,San Francisco,275000,"Manipulate and analyze complex, high volume data \*. Use cutting edge statistical machine learning and data science techniques...."
Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing",San Francisco,135000,"Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership"
Data Scientist,Intellipro Group Inc.,San Francisco,300000,Work with data engineers and other stakeholders in data products pipeline to enable automation of the data-driven products....
Quantitative Analyst,Optimal Asset Management Inc,San Francisco,92500,"Assists in the development of data infrastructure for investment management including market, portfolio and analytics data...."
Senior Data Scientist,Aquila,San Francisco,125000,"Identify and own data latency and data quality issues. Create and maintain data pipelines, dashboards, and data models around our communications ecosystem...."
IT Professionals Needed,NERecruitmentServices,San Francisco,110000,"Senior Data Scientist. Data Center Operations Engineer. Manager, IT Data Center Operations. Hello job seekers!..."
Data Scientist,consol partners,San Francisco,177500,"Data Science / Machine Learing:. Machine learning, data analytics, information retrieval. My client is a stealth mode start up with $1.5 million of investment..."
"Scientist / Associate Scientist, Bioinformatics",Translational Bioscience Inc.,San Francisco,78500,The candidate will work with a team of scientists and research associates to provide data analysis support and develop novel algorithms and tools to process...
Engineering Scientist - R and D Algorithm and System Develop...,"Applied Research Laboratories, The University of T...",Austin,102500,"Knowledge of digital signal processing, image processing, machine learning, autonomous control or statistical data analysis...."
Big Data Engineer,CareerMonks,Austin,115000,"Experience with integration of data from multiple data sources. Participate in meetings with business (account/product management, data scientists) to obtain..."
Senior Research Scientist (Principal Investigator level),Gibson - An Education Consulting & Research Group,Austin,130000,"Provide statistical consulting to clients regarding the appropriate use of existing data. We are a small research team based in Austin, Texas that is made up of..."
Director of Data Science (NYC),Averity,Austin,180000,You will be leading a team of two data scientists (one mid-level data scientist and one junior data scientist)....
Senior Data Engineer,Austin Fraser,Austin,135000,"SENIOR DATA ENGINEER (Lead). Austin, TX – Senior Data Engineer. Extensive experience in Data Science or Engineering. What you get as a Senior Data Engineer:...."
Computer Scientist/Software Engineer,"Signature Science, LLC",Austin,79000,"Computer Science support to the research, development, test and evaluation of tools or algorithms that support rapid, accurate and automated analysis and..."
Software Development Engineers (Core Java),Winston Fox,Austin,160000,"In this role you will be working across the SDLC and collaborating closely with quantitative scientists, traders, senior business stake holders and other..."
Capital Projects Delivery Program Manager,King County,Seattle,93111,"Accumulate historical data, such as performance experience, for use in maintaining a realistic basis for future planning and forecasting...."
Project Program Manager III,King County,Seattle,91166.5,"Analyze complex data, policy, practices, systems, procedures and writing findings, recommendations, and reports...."
Research Analyst,"Pacific Market Research, LLC",Seattle,67500,Effectively display quantitative and qualitative insights using data visualization techniques and graphics. We’re looking for a researcher who can work on all...
Wastewater Capital Project Manager III (Biosolids Program),King County,Seattle,100370.5,Inspect field sites with UW soil scientist advisor who prescribes site-specific rates for each site; Ability to understand and interpret technical or scientific...
"Analyst/Senior Analyst, Product Research",Liberty Mutual,Seattle,94100,"Analyst of Renewal Business Experience is responsible for supporting all customer product insights work, including data querying, traditional data analysis, and..."
Lab Technician,Curacloud corp,Seattle,65000,Powered by deep learning technology and big data from our clinical partners and research. She/He should be capable of utilizing basic and advanced lab...
Data Scientist,Cloudious LLC,Seattle,125000,Interact with BI Engineering teams to get the relevant data needed for the building predictive model. The requirement is to build new predictive solution for...
Data Scientist - Seattle,NxT Level,Seattle,110000,"Data Science/Applied Research:. This ranges from classification to real-time prediction utilizing a mix of internal/external data,...."
Software Engineer - Machine Learning,NxT Level,Seattle,117500,"We are looking for a passionate Data Scientists that are looking to deep dive into a Seattle, WA company that's growing exponentially...."
Institutional Research Analyst,Green River Community College,Seattle,55000,"Extract data from various internal and external sources (e.g., data warehouse, student management system, IPEDS, National Student Clearinghouse, etc.)...."
Senior Data Scientist,All-In Analytics,Seattle,212500,"Experience in complex data cleansing, data validation and master data management. We are looking for a talented Data Scientist to join our growing team!..."
District Sales Manager,Anchor Point Technology Resources,Seattle,100000,"Ability to handle technical processes, data gathering, data analysis and technical sales processes. Client's scientists are globally located in R&D Centers of..."
Senior Data Scientist,Smith Hanley Associates,Seattle,170000,Senior Data Scientist. Senior Data Scientist Responsibilities:. 7+ years experience with data visualization and modeling....
Sr. Business Intelligence Scientist,All-In Analytics,Seattle,95000,Has a solid understanding of efficient and scalable data mining and an ability to use the data in financial and statistical modeling....
Environmental Scientist III,King County,Seattle,93350,Environmental Scientist III. The Environmental Scientist is part of a four-member Research Team that ensures program services are grounded in scientific...
Site Hazard Assessment and WARM Ranking Specialist (Natural...,State of Washington,Seattle,64110,The primary duty for the Natural Resource Scientist 3 position is to gather and evaluate environmental data during a Site Hazard Assessment to form the basis...
Sr Business Analyst - Microstrategy,Analytic Recruiting,Seattle,150000,Prior experience with human resources data helpful. Basic proficiency in scripting with SQL and data model;...
"Principal Analyst/Asst Dir Data Science, Analytical Visionin...",Liberty Mutual,Seattle,122450.5,"Better understanding of the data, and our Data Scientists are our. And apply machine learning and data mining techniques leveraging data in data...."
Senior Statistician - Credit Cards,Seek Business Capital,Los Angeles,70000,"Strong statistics and data analytics academic background and knowledge of quantitative methods. Good knowledge of SQL, Hive, SAS, and/or other data processing..."
Research Analyst,Vital Research,Los Angeles,55000,Conduct basic quantitative and qualitative data analysis; Support development of instruments and data collection protocols;...
"RESEARCH ANALYST II, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,Los Angeles,64213,"Research experience working with Statistical Analysis Software (SAS) package, Microsoft ACCESS, and Microsoft Excel to import/export, manage large data sets..."
Bioinformatics Programmer,USC,Los Angeles,93500,"Additionally, the candidate will develop and maintain data processing applications and reference databases hosted on local Linux servers...."
"Software Engineer/Data Scientist, C/C++, Python in a Linux e...",ANRE Technologies Inc.,Los Angeles,120000,"Scikit-learn, SciPy, Apache Big Data Suite, openCV. Geospatial / space-based data, Natural Language Processing, Remote Imaging...."
Investigations & Research Analyst,Gavin de Becker & Associates,Los Angeles,42500,"Mission & Service Los Angeles, CA Gavin de Becker & Associates is a dynamic security firm innovating threat assessment and public figure protection."
Computer Vision Data Scientist,MACP Los Angeles,Los Angeles,185000,We are looking for a Senior Data Scientist with experience applying state of the art machine learning algorithms to massive data sets.Some of the projects that...
"MEDICAL TECHNOLOGIST, LABORATORY INFORMATION SYSTEMS",Los Angeles County Department of Human Resources,Los Angeles,88765,"Clinical Laboratory Scientist, Limited Clinical Laboratory Scientist, Clinical Microbiologist Scientist License, or Public Health Microbiologist Certificate..."
Director of Data Science,Swifter,Los Angeles,225000,Recruiting data scientists to join our existing team and building Swifter's brand within the data science community....
Big Data Engineer,Jobspring Partners,Los Angeles,160000,"This engineer will work alongside data scientists, quantitative developer and modelers to build machine learning models and transition them to a big data..."
Clinical Laboratory Scientist,CooperGenomics,Los Angeles,65000,Current or imminent State of California Clinical Laboratory Scientist license.*. We have an exciting opportunity for a Clinical Laboratory Scientist at our Los...
Senior Data Scientist,All-In Analytics,Los Angeles,165000,HEAD DATA SCIENTIST. The Head Data Scientist is also responsible for bringing innovative ideas in analytics to business leadership....
SUPERVISING CLINICAL LABORATORY SCIENTIST III,Los Angeles County Department of Human Resources,Los Angeles,97476,Evaluates the performance of subordinate Supervising Clinical Laboratory Scientists and reviews their evaluations of clinical laboratory scientists and...
Mobile Director,LT,Los Angeles,225000,"There is currently three Data Scientists. Data Science is using R, Hadoop, Spark, Python and more. My client a leading consumer facing Application Company..."
Principal Data Scientist,HERO.jobs,Los Angeles,200000,They need a Lead or Principal level Data Scientist who is an expert with Neural Networks and Machine Learning to work with a talented team based near Culver...
Senior iOS Developer,LT,Los Angeles,170000,"There is currently three Data Scientists. Data Science is using R, Hadoop, Spark, Python and more. My client a leading consumer facing Application Company..."
"Application Scientist, Pre-Clinical",TriFoil Imaging,Los Angeles,90000,"Knowledge in detailed observations, data and process analysis. We are looking for an Application Scientist with In-Vivo Optical Imaging experience to join our..."
Senior Statistician,Smith Hanley Associates,Los Angeles,120000,Data Scientist Responsibilities:. Use programming languages to analyze data. Expert in data mining and marketing analytics....
LC/MS Clinical Laboratory Scientist,Lighthouse Recruiting,Los Angeles,95000,"Join our Medical Laboratory Scientists Groups:. And also performing quantitative analysis, data review and certifying and releasing results...."
"Data Scientist - Machine Learning, Team Buildout",Workbridge Associates,Philadelphia,97500,Experience creating Data Visualization; They do also have a Lead Data Scientists and management in place to bring in and introduce a new Scientist to their...
Data Analytics Engineer,CEI,Philadelphia,85000,Data Analytics Engineer*. An experienced data software engineer who have been working with large-scale and distributed data pipelines....
Senior Data Scientist Healthcare,Harnham,Philadelphia,170000,"Senior Data Scientist - Healthcare. Reporting to the Director of the Data Science team, as a Senior Data Scientist you will be solving some of healthcare's most..."
Data Scientist,Smith Hanley Associates,Philadelphia,130000,Data Scientist Qualifications:. Data Scientist Position Overview:. Data Scientist Nice to Have Qualifications:....
Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing",Philadelphia,135000,"Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership"
"Data Scientist (R, SAS, Python)",Jobspring Partners,Philadelphia,110000,A global leader in sensor solutions is looking to add a Data Scientist to join their cutting edge tech team. This position will be responsible for collaborating...
Data Scientist/Machine Learning Specialist,Jobspring Partners,Philadelphia,130000,"A leading healthcare analytical team, one of the world's best within the life sciences industry, is seeking a Machine Learning Specialist/ Data Scientist join..."
"Data Analyst/Scientist (SAS, Python, SQL)",Jobspring Partners,Philadelphia,105000,A health services company that leverages technology to help their clients gain access to a breadth of unused data is looking to bring on a Data Analyst...
NMR Spectroscopist,EPM Scientific,Philadelphia,130000,"Scientist | Structure Elucidation*. Excellent Written and Data Compiling Skills via IT Solutions. West Point, PA*...."
Data Scientist/Optimization Engineer,Jobspring Partners,Philadelphia,112500,In this role you will be extracting power plant data to create algorithms that increase efficiency. An innovative energy solutions company is looking to add a...
Machine Learning Researcher,Jobspring Partners,Philadelphia,115000,"Experience with Data Mining. This agency, specializing in the healthcare industry, is seeking a Machine Learning Researcher to join their Data Science team...."
Quant Research Analyst,3coast,Philadelphia,200000,"Experience in data and time series analysis strongly preferred. 2+ years of professional and/or academic experience in model development, big data analysis and..."
Quantitative Analyst,Winston Fox,Philadelphia,105000,"In this role, you will examine global markets, utilizing terabytes of data, and leverage your statistical, analytic and computational skills to build models and..."
"Research Scientist (Gene Therapy, Molecular Cloning, ELISA)",Apex Life Sciences,Philadelphia,50000,"Analyze and interpret the results including statistical analyses, and creating graphs/figures for data presentations and publications...."
Machine Learning Engineer,Jobspring Partners,Philadelphia,135000,"They are looking for a Data Scientist, specialized in Machine Learning, to join their team. This team of Data Scientists analyze and predict industry data to..."
Mid Level Business Analyst,Jobspring Partners,Philadelphia,72500,"As a Business Analyst, you will work closely with developers, analysts, and data scientists to help deliver project deadlines...."
Home-based Clinical Drug Development Scientist,DOCS Global,Philadelphia,155000,Developing the key elements of data review plans (in collaboration with Data Management) for clinical studies and performing medical data review during study...
Principle Scientist,EPM Scientific,Philadelphia,145000,"Principal Scientist | Structure Elucidation. Excellent Written and Data Compiling Skills via IT Solutions. 130k – 160k + Bonus, Incentives, Vertical Progression..."
DevOps Engineer,Juno Search Partners,Philadelphia,110000,"Their academic platform helps answer questions around data sharing and analysis, helping scientists and medical professionals make better decisions within..."
Clinical Study Associate Trial Master File – TMF,inVentiv Health Clincal,Philadelphia,56000,"At least 3 years’ experience from a CRO or Sponsor Company working in clinical research, clinical operations or data scientist roles (eg Study Manager, Clinical..."
Senior Front-End Engineer,Jobspring Partners,Philadelphia,145000,One will be a web-based application used by data scientists for machine learning purposes. Previous big data experience....
Senior Statistician/Data Scientist-PHARMA,Smith Hanley Associates,Philadelphia,120000,Statistician/Data Scientist Responsibilities. Cleaning up Noise from data. 7+ years delivering data science outcomes....
Lead Machine Learning Engineer,Jobspring Partners,Philadelphia,132500,Experienced with Data Mining. Experience working with machine learning and data mining are an absolute must....
Data Scientist,Liberty Personnel Services,Philadelphia,140000,Data Scientist – Financial Environment – SQL R SAS. We are currently looking for a Data Scientist to join our team in Wilmington DE....
"Sr. Mgr./Mgr., Statistician-SFE --PHARMA",Smith Hanley Associates,Philadelphia,115000,"Conduct statistical modeling and data analysis for SFE engagements and other commercial analytics areas, with methodology when it comes to data insight and..."
Python Full Stack Engineer,"HireIQ Solutions, Inc.",Atlanta,95000,Work with our data scientist on our cutting edge machine learning toolset. Who we are*....
Data Scientist,Relus Technologies LLC,Atlanta,85000,"As a Data Scientist , you'll be involved analyzing complex data, generating insights, and creating classifiers and other solutions as needed from large data..."
Health Scientist,Centers for Disease Control and Prevention,Atlanta,143516,"As a Health Scientist you will:. Identify and apply analytical methods, techniques, and tools to analyze and interpret data...."
Research Informatics Analyst,Emory University,Atlanta,96900,Knowledge of data and information systems standards relevant to the field of biomedical informatics and health systems.DATE CREATED/MODIFIED/REVISED:....
Data Scientist,Enterprise Select,Atlanta,96400,We are currently looking for an experienced Data Scientist to join their growing Analytics team. Strong understanding of algorithms and advanced data structures...
"Scientist, Asst Bioinformatics",Emory University,Atlanta,77600,"This role collaborates with researchers to develop high throughput data processing and analysis capability. Under minimal supervision, the Assistant Scientist,..."
Prospect Research Analyst-Development and Alumni Relations,Emory University,Atlanta,53200,Various personal computer software applications and familiarity with on-line data retrieval systems. Performs wealth estimations and assigns ratings based on...
"Accounting Policy, Research and Special Projects Senior Anal...",JSP Recruitment Services,Atlanta,75000,"Accounting Policy, Research and Special Projects Senior Analyst Duluth, GA *Responsibilities of the Accounting Policy, Research and Special Projects"
Bioinformatics Analyst,Emory University,Atlanta,64100,"Projects may also include analyses of other data types, such as longitudinal data, survival data, using conventional statistical methods...."
Data Scientist,Principle Solutions Group,Atlanta,110000,"Requirements for the Data Scientist:. Data Scientist – Atlanta, GA - $110k/yr. Our client is looking for a Data Scientist to join their team in Atlanta, GA!..."
"Scientist, Asc (AR) SOM",Emory University,Atlanta,70600,"The Staff Scientist Asc. Essential Responsibilities include developing software algorithms and tools for analysis and interpretation of medical image data,..."
Data Scientist,Smith Hanley Associates,Atlanta,120000,Requirements of the Data Scientist:. Analytical consulting company in Atlanta is seeking a Data Scientist with SAS and R experience to perform pricing analysis...
Program Coordinator,Emory University,Atlanta,53200,"Tasks will include regular updating of the Center website, archiving of biological data, archiving all correspondence with collaborators, acting as a liason..."
Scientist (AR) SOM,Emory University,Atlanta,85500,"Provide guidance in data processing. Ensure that the core facility generates high quality cryo-EM data. Staff Scientists will have leadership responsibilities,..."
Associate Scientist (AR) SOM,Emory University,Atlanta,70600,"This associate scientist additionally offers unparalleled stability. Apkarian Integrated Electron Microscopy Core at Emory seeks to appoint an enthusiastic,..."
Systems Software Engineer,Emory University,Atlanta,86400,Strong willingness to adhere to the security restrictions inherent in environments that have sensitive data (such as patient data)....
Technical Editor,Emory University,Atlanta,58300,"The ideal candidate will write clear, concise technical documents integrating raw data and relevant published studies to support conclusions...."
Sr. Biochemical Automation Workflow Engineer - RT,Absolute Opportunities,Atlanta,110000,Fine-tuning sample preparation applications in collaboration with analytical chemists to optimize workflow data quality and meet customer needs....
Statistical Analyst,Principle Solutions Group,Atlanta,100000,Ability to understand and manipulate data from multiple sources. Our client is looking for a Statistical Analyst to work in their R&D team to support the...
Senior Statistical Consultant,Principle Solutions Group,Atlanta,120000,Knowledge of credit bureau and alternative data a plus. 5+ years of experience in statistical credit risk modeling and quantitative data analysis....
Data Scientist - Supply Chain Analytics,Analytic Recruiting,Atlanta,107500,"Data Scientist, Supply Chain Analytics sought by Fortune 500 company to be part of a leading-edge predictive and prescriptive analytics...."
Data Analyst,Veredus,Atlanta,75000,"Data Analyst, SQL, Data Scientist, Query. Data Analyst Skills & Requirements:. Help use data to drive operations decisions...."
Statistician - Model Validation,Smith Hanley Associates,Atlanta,105000,"-Provide expertise in problem design, data development, model development, and ongoing model monitoring and validation. Smith Hanley Associates...."
Certifying Scientist,Lighthouse Recruiting,Atlanta,62500,"Join our Medical Laboratory Scientists Groups:. A growing clinical toxicology laboratory in Atlanta, GA is seeking a Certifying Scientist with strong..."
Data Scientist,Cameron Craig Group,Atlanta,92500,Strong understanding of algorithms and advanced data structures. Experience in solutions that leverage distributed processing of large data sets (e.g....
Account Research Analyst,Real Time Resolutions Inc.,Dallas,30000,"Review and record data from various online databases, client contacts, and internal departments in order to verify account information...."
Data Scientist,Workbridge Associates,Dallas,90000,"As a Data Scientist here you will be responsible for sourcing huge amounts of client data, up to 100 million rows...."
