Species,Trap,dayofyear,tmax_x,tmin_x,dewpoint_x,sealevel_x,resultdir_x,avgspeed_x,tmax_y,tmin_y,dewpoint_y,sealevel_y,resultdir_y,avgspeed_y,coollast7,coollast30,coollast90,preciplast30,preciplast90
2,15,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,15,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,16,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,19,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,20,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,22,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,24,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,25,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
1,34,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,34,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,34,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,35,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
1,37,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,37,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,37,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,38,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,39,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,39,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,41,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,68,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,70,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,71,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,71,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,76,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,77,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
1,80,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,80,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,80,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
1,92,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,92,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,92,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,94,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,94,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,95,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,95,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,96,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,96,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,98,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,99,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,99,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,100,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,102,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,103,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,104,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,104,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,105,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,106,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,107,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,111,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,111,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,112,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,115,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,123,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,123,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
3,128,156,64,47,48,29.79,5,7.6,63,51,47,29.78,3,8.1,41.0,64.0,2.0,1.805,0.01
2,0,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,1,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,1,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
4,1,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,4,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,7,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,7,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,8,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,8,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,9,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,11,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,11,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,12,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,15,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,16,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,16,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,19,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,20,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,22,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,22,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,25,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,25,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,26,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,29,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,31,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,31,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,32,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,34,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,34,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,35,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,35,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,36,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,36,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,37,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,38,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,39,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,40,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,67,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,68,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,68,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
1,69,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
1,71,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,71,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,71,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,80,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,91,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,91,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
1,92,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,92,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,92,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,94,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,94,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,95,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,96,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,96,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,98,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,99,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,100,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,101,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,101,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,103,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,104,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,104,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,111,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,111,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,114,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,114,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,127,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
3,128,177,92,70,69,30.11,22,7.1,91,73,69,30.09,21,8.1,49.0,175.0,57.0,1.94,1.81
2,1,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,7,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,12,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,13,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,14,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,15,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,15,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,16,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,18,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,22,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,22,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,23,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,23,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
1,24,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,32,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,32,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,35,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,41,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,66,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,66,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
1,67,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,67,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
1,68,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,68,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,70,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
1,71,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,71,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,71,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,75,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,80,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,92,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,94,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,95,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,96,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,97,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,98,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,99,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,101,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,101,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,103,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,104,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,104,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,106,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,111,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,113,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
3,123,180,70,56,55,30.13,2,8.3,71,56,56,30.11,2,8.2,50.0,170.0,78.0,1.95,1.815
2,1,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,1,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,4,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,6,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,7,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,8,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,8,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,9,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,9,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,10,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,11,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
4,12,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,13,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,13,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,14,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,14,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,15,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,16,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,17,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,18,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,19,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
1,22,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,22,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,22,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,23,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,23,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,29,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,29,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,32,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,33,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,33,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,34,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,34,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,35,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,35,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
2,36,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
3,36,183,79,53,50,30.22,14,8.1,77,58,50,30.21,12,8.5,36.0,163.0,102.0,1.76,2.055
